Date,Value,week,year,month,day
9/11/16,621.65,7,2016,9,11
9/12/16,609.67,1,2016,9,12
9/13/16,610.92,2,2016,9,13
9/14/16,608.82,3,2016,9,14
9/15/16,610.38,4,2016,9,15
9/16/16,609.11,5,2016,9,16
9/17/16,607.04,6,2016,9,17
9/18/16,611.58,7,2016,9,18
9/19/16,610.19,1,2016,9,19
9/20/16,608.66,2,2016,9,20
9/21/16,598.88,3,2016,9,21
9/22/16,597.42,4,2016,9,22
9/23/16,594.08,5,2016,9,23
9/24/16,603.88,6,2016,9,24
9/25/16,601.74,7,2016,9,25
9/26/16,598.98,1,2016,9,26
9/27/16,605.96,2,2016,9,27
9/28/16,605.67,3,2016,9,28
9/29/16,603.85,4,2016,9,29
9/30/16,609.39,5,2016,9,30
10/1/16,614.82,6,2016,10,1
10/2/16,612.98,7,2016,10,2
10/3/16,611.85,1,2016,10,3
10/4/16,609.62,2,2016,10,4
10/5/16,607.18,3,2016,10,5
10/6/16,612.08,4,2016,10,6
10/7/16,617.21,5,2016,10,7
10/8/16,614.74,6,2016,10,8
10/9/16,615.65,7,2016,10,9
10/10/16,617.54,1,2016,10,10
10/11/16,614.77,2,2016,10,11
10/12/16,635.01,3,2016,10,12
10/13/16,635.96,4,2016,10,13
10/14/16,634.02,5,2016,10,14
10/15/16,637.94,6,2016,10,15
10/16/16,641.42,7,2016,10,16
10/17/16,638.97,1,2016,10,17
10/18/16,636.29,2,2016,10,18
10/19/16,629.25,3,2016,10,19
10/20/16,627.72,4,2016,10,20
10/21/16,631.92,5,2016,10,21
10/22/16,655.48,6,2016,10,22
10/23/16,653.25,7,2016,10,23
10/24/16,651.39,1,2016,10,24
10/25/16,655.31,2,2016,10,25
10/26/16,651.45,3,2016,10,26
10/27/16,682.22,4,2016,10,27
10/28/16,687.68,5,2016,10,28
10/29/16,685.91,6,2016,10,29
10/30/16,698.0,7,2016,10,30
10/31/16,702.0,1,2016,10,31
11/1/16,697.01,2,2016,11,1
11/2/16,733.33,3,2016,11,2
