Date,USD (PM),week,year,month,day
9/12/16,1324.6,1,2016,9,12
9/13/16,1323.65,2,2016,9,13
9/14/16,1321.75,3,2016,9,14
9/15/16,1310.8,4,2016,9,15
9/16/16,1308.35,5,2016,9,16
9/19/16,1314.85,1,2016,9,19
9/20/16,1313.8,2,2016,9,20
9/21/16,1326.1,3,2016,9,21
9/22/16,1339.1,4,2016,9,22
9/23/16,1338.65,5,2016,9,23
9/26/16,1340.5,1,2016,9,26
9/27/16,1327.0,2,2016,9,27
9/28/16,1322.5,3,2016,9,28
9/29/16,1318.1,4,2016,9,29
9/30/16,1322.5,5,2016,9,30
10/3/16,1313.3,1,2016,10,3
10/4/16,1283.3,2,2016,10,4
10/5/16,1269.4,3,2016,10,5
10/6/16,1254.5,4,2016,10,6
10/7/16,1258.75,5,2016,10,7
10/10/16,1259.5,1,2016,10,10
10/11/16,1253.45,2,2016,10,11
10/12/16,1256.5,3,2016,10,12
10/13/16,1261.05,4,2016,10,13
10/14/16,1251.75,5,2016,10,14
10/17/16,1254.8,1,2016,10,17
10/18/16,1258.2,2,2016,10,18
10/19/16,1269.05,3,2016,10,19
10/20/16,1271.65,4,2016,10,20
10/21/16,1266.05,5,2016,10,21
10/24/16,1265.55,1,2016,10,24
10/25/16,1269.4,2,2016,10,25
10/26/16,1270.5,3,2016,10,26
10/27/16,1266.25,4,2016,10,27
10/28/16,1273.0,5,2016,10,28
10/31/16,1272.0,1,2016,10,31
11/1/16,1288.45,2,2016,11,1
11/2/16,1303.75,3,2016,11,2
11/3/16,1301.0,4,2016,11,3
11/4/16,1302.8,5,2016,11,4
11/7/16,1283.05,1,2016,11,7
11/8/16,1282.35,2,2016,11,8
11/9/16,1281.4,3,2016,11,9
11/10/16,1267.5,4,2016,11,10
11/11/16,1236.45,5,2016,11,11
11/14/16,1213.6,1,2016,11,14
11/15/16,1226.95,2,2016,11,15
11/16/16,1229.2,3,2016,11,16
11/17/16,1226.75,4,2016,11,17
11/18/16,1211.0,5,2016,11,18
11/21/16,1214.25,1,2016,11,21
11/22/16,1212.25,2,2016,11,22
11/23/16,1185.35,3,2016,11,23
11/24/16,1186.1,4,2016,11,24
11/25/16,1187.7,5,2016,11,25
11/28/16,1187.0,1,2016,11,28
11/29/16,1186.55,2,2016,11,29
11/30/16,1178.1,3,2016,11,30
12/1/16,1161.85,4,2016,12,1
12/2/16,1173.5,5,2016,12,2
12/5/16,1162.2,1,2016,12,5
12/6/16,1172.5,2,2016,12,6
12/7/16,1177.65,3,2016,12,7
12/8/16,1171.05,4,2016,12,8
12/9/16,1163.6,5,2016,12,9
12/12/16,1156.1,1,2016,12,12
12/13/16,1158.55,2,2016,12,13
12/14/16,1162.25,3,2016,12,14
12/15/16,1126.95,4,2016,12,15
12/16/16,1131.6,5,2016,12,16
12/19/16,1136.25,1,2016,12,19
12/20/16,1125.7,2,2016,12,20
12/21/16,1133.65,3,2016,12,21
12/22/16,1131.35,4,2016,12,22
12/23/16,,5,2016,12,23
12/28/16,1134.6,3,2016,12,28
12/29/16,1145.9,4,2016,12,29
12/30/16,,5,2016,12,30
1/3/17,1151.0,2,2017,1,3
1/4/17,1164.25,3,2017,1,4
1/5/17,1176.7,4,2017,1,5
1/6/17,1175.85,5,2017,1,6
1/9/17,1178.5,1,2017,1,9
1/10/17,1189.5,2,2017,1,10
1/11/17,1178.55,3,2017,1,11
1/12/17,1205.05,4,2017,1,12
1/13/17,1190.35,5,2017,1,13
1/16/17,1203.0,1,2017,1,16
1/17/17,1216.05,2,2017,1,17
1/18/17,1214.75,3,2017,1,18
1/19/17,1196.05,4,2017,1,19
1/20/17,1200.55,5,2017,1,20
1/23/17,1212.85,1,2017,1,23
1/24/17,1216.8,2,2017,1,24
1/25/17,1195.0,3,2017,1,25
1/26/17,1189.7,4,2017,1,26
1/27/17,1184.85,5,2017,1,27
1/30/17,1192.8,1,2017,1,30
1/31/17,1212.8,2,2017,1,31
2/1/17,1203.65,3,2017,2,1
2/2/17,1221.95,4,2017,2,2
2/3/17,1215.2,5,2017,2,3
2/6/17,1226.75,1,2017,2,6
2/7/17,1231.0,2,2017,2,7
2/8/17,1242.1,3,2017,2,8
2/9/17,1236.8,4,2017,2,9
2/10/17,1228.3,5,2017,2,10
2/13/17,1222.25,1,2017,2,13
2/14/17,1230.75,2,2017,2,14
2/15/17,1224.4,3,2017,2,15
2/16/17,1240.55,4,2017,2,16
2/17/17,1241.95,5,2017,2,17
2/20/17,1237.3,1,2017,2,20
2/21/17,1233.2,2,2017,2,21
2/22/17,1236.65,3,2017,2,22
2/23/17,1247.9,4,2017,2,23
2/24/17,1253.65,5,2017,2,24
2/27/17,1257.2,1,2017,2,27
2/28/17,1255.6,2,2017,2,28
3/1/17,1240.4,3,2017,3,1
3/2/17,1238.1,4,2017,3,2
3/3/17,1226.5,5,2017,3,3
3/6/17,1230.95,1,2017,3,6
3/7/17,1216.65,2,2017,3,7
3/8/17,1209.2,3,2017,3,8
3/9/17,1206.55,4,2017,3,9
3/10/17,1202.65,5,2017,3,10
3/13/17,1204.2,1,2017,3,13
3/14/17,1204.6,2,2017,3,14
3/15/17,1198.8,3,2017,3,15
3/16/17,1229.35,4,2017,3,16
3/17/17,1229.6,5,2017,3,17
3/20/17,1232.4,1,2017,3,20
3/21/17,1241.6,2,2017,3,21
3/22/17,1249.05,3,2017,3,22
3/23/17,1247.5,4,2017,3,23
3/24/17,1247.5,5,2017,3,24
3/27/17,1257.55,1,2017,3,27
3/28/17,1257.25,2,2017,3,28
3/29/17,1251.1,3,2017,3,29
3/30/17,1248.8,4,2017,3,30
3/31/17,1244.85,5,2017,3,31
4/3/17,1247.25,1,2017,4,3
4/4/17,1257.65,2,2017,4,4
4/5/17,1245.8,3,2017,4,5
4/6/17,1252.5,4,2017,4,6
4/7/17,1266.45,5,2017,4,7
4/10/17,1250.05,1,2017,4,10
4/11/17,1252.9,2,2017,4,11
4/12/17,1274.3,3,2017,4,12
4/13/17,1284.15,4,2017,4,13
4/18/17,1278.95,2,2017,4,18
4/19/17,1279.05,3,2017,4,19
4/20/17,1282.1,4,2017,4,20
4/21/17,1281.85,5,2017,4,21
4/24/17,1269.4,1,2017,4,24
4/25/17,1267.8,2,2017,4,25
4/26/17,1261.85,3,2017,4,26
4/27/17,1262.8,4,2017,4,27
4/28/17,1266.45,5,2017,4,28
5/2/17,1255.45,2,2017,5,2
5/3/17,1250.3,3,2017,5,3
5/4/17,1228.45,4,2017,5,4
5/5/17,1228.05,5,2017,5,5
5/8/17,1229.8,1,2017,5,8
5/9/17,1220.4,2,2017,5,9
5/10/17,1222.95,3,2017,5,10
5/11/17,1223.15,4,2017,5,11
5/12/17,1231.25,5,2017,5,12
5/15/17,1233.3,1,2017,5,15
5/16/17,1234.2,2,2017,5,16
5/17/17,1257.4,3,2017,5,17
5/18/17,1255.9,4,2017,5,18
5/19/17,1252.0,5,2017,5,19
5/22/17,1258.85,1,2017,5,22
5/23/17,1260.2,2,2017,5,23
5/24/17,1252.55,3,2017,5,24
5/25/17,1256.95,4,2017,5,25
5/26/17,1265.05,5,2017,5,26
5/30/17,1262.7,2,2017,5,30
5/31/17,1266.2,3,2017,5,31
6/1/17,1264.85,4,2017,6,1
6/2/17,1274.95,5,2017,6,2
