Date,Value,BCHAIN-MKPRU_nextday_predict,usd,usd_nextday_predict
9/11/16,621.65,0.0,0.0,0.0
9/12/16,609.67,0.0,1324.6,0.0
9/13/16,610.92,0.0,1323.65,0.0
9/14/16,608.82,0.0,1321.75,0.0
9/15/16,610.38,0.0,1310.8,0.0
9/16/16,609.11,0.0,1308.35,0.0
9/17/16,607.04,0.0,0.0,0.0
9/18/16,611.58,0.0,0.0,0.0
9/19/16,610.19,0.0,1314.85,0.0
9/20/16,608.66,0.0,1313.8,0.0
9/21/16,598.88,0.0,1326.1,0.0
9/22/16,597.42,0.0,1339.1,0.0
9/23/16,594.08,0.0,1338.65,0.0
9/24/16,603.88,0.0,0.0,0.0
9/25/16,601.74,0.0,0.0,0.0
9/26/16,598.98,0.0,1340.5,0.0
9/27/16,605.96,0.0,1327.0,0.0
9/28/16,605.67,0.0,1322.5,0.0
9/29/16,603.85,0.0,1318.1,0.0
9/30/16,609.39,0.0,1322.5,0.0
10/1/16,614.82,0.0,0.0,0.0
10/2/16,612.98,0.0,0.0,0.0
10/3/16,611.85,0.0,1313.3,0.0
10/4/16,609.62,0.0,1283.3,0.0
10/5/16,607.18,0.0,1269.4,0.0
10/6/16,612.08,0.0,1254.5,0.0
10/7/16,617.21,0.0,1258.75,0.0
10/8/16,614.74,0.0,0.0,0.0
10/9/16,615.65,0.0,0.0,0.0
10/10/16,617.54,0.0,1259.5,0.0
10/11/16,614.77,999.194580078125,1253.45,0.0
10/12/16,635.01,999.150390625,1256.5,0.0
10/13/16,635.96,1005.3658447265624,1261.05,0.0
10/14/16,634.02,1011.6543579101562,1251.75,0.0
10/15/16,637.94,1015.3118896484376,0.0,0.0
10/16/16,641.42,1018.364013671875,0.0,0.0
10/17/16,638.97,1021.4156494140624,1254.8,0.0
10/18/16,636.29,1022.6889038085938,1258.2,0.0
10/19/16,629.25,1022.1846313476562,1269.05,0.0
10/20/16,627.72,1019.056640625,1271.65,0.0
10/21/16,631.92,1015.6983032226562,1266.05,0.0
10/22/16,655.48,1014.7137451171876,0.0,0.0
10/23/16,653.25,1022.3704833984376,0.0,0.0
10/24/16,651.39,1029.2569580078125,1265.55,1264.313720703125
10/25/16,655.31,1033.117919921875,1269.4,1263.09375
10/26/16,651.45,1036.208251953125,1270.5,1263.1571044921875
10/27/16,682.22,1036.841796875,1266.25,1264.0218505859375
10/28/16,687.68,1046.6112060546875,1273.0,1263.0877685546875
10/29/16,685.91,1057.5753173828125,0.0,0.0
10/30/16,698.0,1064.766845703125,0.0,0.0
10/31/16,702.0,1072.582763671875,1272.0,1264.8160400390625
